step,time,loss,test_loss
66,3.0198,0.4128648638725281,0.744674563407898
67,3.0629,0.4150829017162323,0.7406622171401978
68,3.1057,0.4118891656398773,0.7388275861740112
69,3.1484,0.40971967577934265,0.7359293699264526
70,3.1907,0.40452006459236145,0.7296058535575867
71,3.2375,0.40475982427597046,0.7298175096511841
72,3.2872,0.4024694263935089,0.7257128357887268
73,3.3344,0.399973601102829,0.7253795266151428
74,3.3862,0.4001987874507904,0.7195942997932434
75,3.4332,0.39375483989715576,0.7149948477745056
76,3.4774,0.3915610611438751,0.7167157530784607
77,3.5224,0.3880469501018524,0.7135810256004333
78,3.5658,0.3908236622810364,0.7077375650405884
79,3.6103,0.3899294137954712,0.7084169983863831
80,3.6585,0.38793423771858215,0.7077646851539612
81,3.7055,0.38556501269340515,0.7033771276473999
82,3.7496,0.3820898234844208,0.7015475034713745
83,3.7945,0.38371115922927856,0.6991186738014221
84,3.8392,0.3776692748069763,0.6948493123054504
85,3.8817,0.3764722943305969,0.6915470957756042
86,3.9244,0.3756956160068512,0.6883938312530518
87,3.9673,0.37513864040374756,0.6852988600730896
88,4.0136,0.37191861867904663,0.6834835410118103
89,4.0601,0.37082237005233765,0.6810175180435181
90,4.1080,0.3643840253353119,0.6792033314704895
91,4.1616,0.3625352084636688,0.6758086085319519
92,4.2114,0.3633727431297302,0.67207270860672
93,4.2570,0.36318379640579224,0.6675847172737122
94,4.3020,0.3593119978904724,0.6667861342430115
95,4.3461,0.3560430705547333,0.6652461886405945
96,4.3930,0.35490113496780396,0.6618508696556091
97,4.4511,0.35620614886283875,0.6597071886062622
98,4.5000,0.35285863280296326,0.6554291844367981
99,4.5430,0.349880576133728,0.654711127281189
100,4.5840,0.34794148802757263,0.6534714698791504
101,4.6285,0.3472689390182495,0.6481491327285767
102,4.6781,0.34786713123321533,0.6469891667366028
103,4.7333,0.3430987298488617,0.6450748443603516
104,4.7810,0.34135788679122925,0.6413875818252563
105,4.8296,0.34003588557243347,0.6409403085708618
106,4.8791,0.3374212384223938,0.6359845399856567
107,4.9284,0.33785000443458557,0.6346274614334106
108,4.9752,0.3372105360031128,0.6310742497444153
109,5.0185,0.332485169172287,0.6289657950401306
110,5.0639,0.33271607756614685,0.6280359029769897
111,5.1112,0.33149829506874084,0.6239585876464844
112,5.1613,0.3272799253463745,0.6223878860473633
113,5.2107,0.3261699676513672,0.6195323467254639
114,5.2598,0.3259717524051666,0.6183537244796753
115,5.3090,0.32426053285598755,0.6173767447471619
116,5.3543,0.32126131653785706,0.6131040453910828
117,5.3989,0.32035431265830994,0.6115425825119019
118,5.4443,0.31644105911254883,0.6103772521018982
119,5.4914,0.31579557061195374,0.6049478650093079
120,5.5357,0.31289902329444885,0.6008170247077942
121,5.5773,0.3108125925064087,0.6002019047737122
122,5.6186,0.3130117356777191,0.5963296890258789
123,5.6592,0.31116652488708496,0.5935087203979492
124,5.7005,0.3066539168357849,0.592460572719574
125,5.7437,0.3085364103317261,0.5909277200698853
126,5.7902,0.30372586846351624,0.5897712707519531
127,5.8381,0.3061036467552185,0.5873858332633972
